cname,cloc,usec,govdep,ceo,product
Zoombeat,Aş Şūrah aş Şaghīrah,Rafaela Tethacot,Training,,
Rhynoodle,Madura,Norry Shemmin,Human Resources,,
Zazio,Gaotaizi,,,Lefty Arons,Toys
Feedbug,Chivor,Julianne Dunbar,Support,,
Brainbox,Oemofa,Kris Sherr,Business Development,,
Eayo,Tennō,,,Kathye Cull,Toys
Vinte,Железный порт,,,Sonnie Dziwisz,Health
Innotype,Lluchubamba,Thornie Dovey,Support,,
LiveZ,Sarykemer,Elysia Roofe,Legal,,
Innotype,Ekerö,Jehu Drakes,Engineering,,
Thoughtstorm,Sinubong,,,Ric Calderbank,Movies
Buzzster,Yinghua,Frasier McNeigh,Sales,,
LiveZ,Saipan,Tyler Demougeot,Research and Development,,
Trudeo,Pyt-Yakh,,,Hagan O'Cannan,Electronics
Ntag,Sangmélima,Garrott Armer,Services,,
Dablist,Cauayan,Sax Every,Services,,
Voolith,Zhong’an,Angelia Burness,Sales,,
Camido,Mizhuang,Mead Butten,Business Development,,
Izio,Río Tercero,,,Waldon Ullett,Music
Tagcat,Osoyoos,,,Marjory Blaes,Tools
Brainbox,Dnestrovsc,,,Lauritz Ellacombe,Tools
Buzzdog,Daliang,Kassie Aksell,Business Development,,
Quatz,Beauvais,,,Mylo Stawell,Jewelery
Youfeed,Bagumbayan,Kip Rigden,Human Resources,,
Zoomcast,Corzuela,,,Ursulina Nutten,Garden
Vipe,Leninskoye,Kelsey Hockell,Services,,
Wikizz,Parada de Todeia,Jacquelynn Ertelt,Product Management,,
Topiclounge,Mosquée,,,Marc Cords,Tools
Quire,Balad,,,Lolita Blenkiron,Sports
Gabvine,San Juan de Limay,Dasi Oger,Services,,
Yoveo,Boleszkowice,Sheena Seebright,Product Management,,
Quire,Alcains,Ezra Bernhard,Accounting,,
Dynabox,Miechów Charsznica,Coop Colbran,Training,,
Zoomdog,Ganshui,Heriberto Maren,Engineering,,
Fadeo,Longuita,Kimmie Figin,Services,,
