taskid,dateass,datefin,difficulty,duration,designspecs,datainputtype,dataoutputtype,isfrontend,isbackend,pid,snum
58,10/12/2018,9/25/2019,10,348.0075115741,Breakfast Quesadillas,Turquoise,Mauv,true,false,16,85
59,5/28/2018,12/24/2018,6,209.7702777778,Pectin,Aquamarine,Red,true,false,60,50
60,5/8/2018,2/3/2019,10,270.6119675926,Cheese - Cheddar With Claret,Orange,Purple,true,true,23,85
61,5/5/2018,1/22/2019,5,262.3406597222,"Wine - Red, Black Opal Shiraz",Blue,Turquoise,true,false,26,10
62,11/12/2018,1/30/2019,8,79.0677546296,Longos - Chicken Wings,Violet,Blue,false,false,23,63
63,7/28/2018,6/9/2019,10,316.2567013889,Temperature Recording Station,Yellow,Turquoise,,,26,32
64,9/28/2018,7/24/2019,5,298.5676388889,"Liners - Banana, Paper",Red,Red,,,14,20
65,1/26/2018,11/10/2019,8,652.5637152778,Peas - Frozen,Crimson,Pink,false,false,25,17
66,9/27/2018,3/3/2019,1,157.6879282407,Sardines,Indigo,Fuscia,,,69,37
67,9/14/2018,9/20/2019,9,370.9758333333,Fenngreek Seed,Indigo,Green,,,82,28
68,12/21/2017,9/1/2019,7,618.8695601852,Wine - Chateau Aqueria Tavel,Fuscia,Aquamarine,true,false,33,15
69,7/26/2018,5/11/2019,5,289.6461111111,"Thyme - Lemon, Fresh",Turquoise,Pink,false,true,47,9
70,3/30/2018,6/19/2019,1,445.4667939815,Nantucket - 518ml,Turquoise,Puce,true,false,89,57
71,12/23/2017,6/21/2019,10,544.7064351852,Wine - Tio Pepe Sherry Fino,Maroon,Maroon,,,10,18
72,4/9/2018,4/1/2019,10,356.8445486111,Cabbage Roll,Khaki,Goldenrod,true,true,56,17
73,6/23/2018,1/16/2019,7,207.2915856481,Wine - Champagne Brut Veuve,Yellow,Yellow,false,true,62,4
74,6/17/2018,4/18/2019,9,305.4376041667,Goat - Leg,Violet,Red,true,true,81,73
75,8/15/2018,2/26/2019,8,194.5229050926,Jolt Cola - Red Eye,Maroon,Teal,,,34,98
76,2/5/2018,1/15/2019,7,344.2606944444,"Nut - Walnut, Chopped",Yellow,Mauv,,,52,47
77,6/14/2018,8/15/2019,10,427.3927314815,Allspice - Jamaican,Khaki,Mauv,true,false,16,8
78,11/19/2018,11/15/2019,6,360.9534837963,Flavouring - Rum,Maroon,Purple,,,63,43
79,1/8/2018,4/26/2019,4,473.6932986111,Tia Maria,Crimson,Violet,,,19,54
80,8/11/2018,5/26/2019,2,288.2829513889,Mayonnaise,Goldenrod,Green,,,25,31
81,1/7/2018,10/11/2019,7,641.6940277778,"Beans - Fava, Canned",Purple,Purple,false,false,33,54
82,7/27/2018,6/10/2019,8,318.6492708333,Sobe - Cranberry Grapefruit,Maroon,Puce,,,42,83
83,5/11/2018,4/13/2019,7,337.2540740741,"Wine - Red, Antinori Santa",Green,Aquamarine,false,true,3,33
84,10/1/2018,2/9/2019,2,130.6218171296,Vinegar - Cider,Teal,Maroon,,,61,13
85,10/16/2018,3/23/2019,10,158.1759953704,Onions - Green,Yellow,Green,false,false,18,49
86,8/4/2018,3/9/2019,2,216.6022222222,Lamb - Loin Chops,Teal,Orange,false,false,20,99
87,4/16/2018,8/21/2019,6,491.8826388889,Oil - Avocado,Indigo,Maroon,,,10,20
88,5/26/2018,11/29/2018,3,186.8467939815,"Cup - 3.5oz, Foam",Mauv,Red,false,false,31,36
89,12/7/2017,12/27/2018,10,385.4949768519,Bread - Sour Sticks With Onion,Orange,Maroon,,,24,53
90,5/15/2018,2/10/2019,10,270.9013194444,"Tart Shells - Sweet, 3",Indigo,Goldenrod,,,23,43
91,9/12/2018,5/29/2019,3,259.5294212963,Butter Ripple - Phillips,Blue,Blue,true,false,75,84
92,8/2/2018,7/30/2019,9,362.154849537,Beans - Kidney White,Orange,Mauv,,,45,59
93,5/23/2018,11/22/2019,5,548.5979513889,Chocolate - Semi Sweet,Yellow,Blue,true,true,58,38
94,9/23/2018,6/20/2019,2,270.459849537,Wine - Sawmill Creek Autumn,Yellow,Turquoise,,,20,34
95,3/3/2018,3/27/2019,3,389.2165625,"Lemonade - Natural, 591 Ml",Mauv,Mauv,false,false,54,92
96,7/21/2018,3/5/2019,8,227.2675925926,Crab - Imitation Flakes,Indigo,Yellow,false,false,82,86
97,3/4/2018,5/25/2019,5,446.9910300926,Stainless Steel Cleaner Vision,Indigo,Violet,true,false,68,4
98,12/24/2017,4/27/2019,1,489.0200347222,Butter Balls Salted,Crimson,Orange,false,true,83,46
99,7/18/2018,2/16/2019,10,213.6840046296,Ketchup - Tomato,Orange,Blue,false,true,25,5
100,1/7/2018,6/20/2019,2,529.034525463,Bacon Strip Precooked,Red,Maroon,,,55,29
