pid,cname,startdate,enddate
84,Izio,2018-05-09 23:20:07,2018-12-21 23:01:54
85,Tagcat,2018-03-02 13:50:44,2019-08-21 02:54:37
86,Brainbox,2018-05-13 12:39:14,2019-01-04 15:40:42
87,Buzzdog,2018-01-18 13:22:46,2019-01-27 18:18:46
88,Quatz,2018-10-02 17:51:46,2019-07-29 00:51:15
89,Youfeed,2018-05-21 18:04:57,2019-05-08 03:57:44
90,Zoomcast,2018-08-27 06:07:58,2019-01-13 22:52:57
91,Vipe,2018-09-29 20:50:57,2019-03-19 23:04:58
92,Wikizz,2018-04-28 11:24:33,2019-09-15 09:23:06
93,Topiclounge,2018-09-03 19:39:24,2019-08-05 16:34:16
94,Quire,2018-04-15 21:13:22,2019-04-25 12:58:27
95,Gabvine,2018-03-08 20:35:41,2019-03-23 03:54:30
96,Yoveo,2018-09-27 22:56:34,2019-05-30 14:35:35
97,Quire,2018-07-06 23:06:22,2019-05-29 09:21:47
98,Dynabox,2018-10-24 11:33:32,2019-03-18 22:33:17
99,Zoomdog,2018-05-02 06:47:12,2019-03-10 19:47:33
100,Fadeo,2018-10-01 20:52:40,2019-10-20 18:03:56
